"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","virtualNode_shouldThrowOnOutOfBoundsVirtualId()","","Thu Apr 09 07:13:48 UTC 2026","skipped","Thu Apr 09 07:13:48 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","virtualNode_shouldThrowOnOutOfBoundsVirtualId"
"","2","getNeighbors_invalidNodeId_throwsIllegalArgument()","","Thu Apr 09 07:14:24 UTC 2026","passed","Thu Apr 09 07:14:24 UTC 2026","","fr.uga.im2ag.m1info.physical.NetworkConfigTest","fr.uga.im2ag.m1info.physical.NetworkConfigTest","getNeighbors_invalidNodeId_throwsIllegalArgument"
"","1","main_MissingArgs_ShouldExitWithCode1()","","Thu Apr 09 07:14:22 UTC 2026","passed","Thu Apr 09 07:14:22 UTC 2026","","fr.uga.im2ag.m1info.physical.MainTest","fr.uga.im2ag.m1info.physical.MainTest","main_MissingArgs_ShouldExitWithCode1"
"","1","toString_shouldContainTypeAndIds()","","Thu Apr 09 07:14:38 UTC 2026","failed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","toString_shouldContainTypeAndIds"
"","7","main_SendCommand_Valid_ShouldCallManager()","","Thu Apr 09 07:14:22 UTC 2026","passed","Thu Apr 09 07:14:22 UTC 2026","","fr.uga.im2ag.m1info.physical.MainTest","fr.uga.im2ag.m1info.physical.MainTest","main_SendCommand_Valid_ShouldCallManager"
"","0","sendLeft_shouldDeliverMessageToPreviousVirtualNode()","","Thu Apr 09 07:13:48 UTC 2026","skipped","Thu Apr 09 07:13:48 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","sendLeft_shouldDeliverMessageToPreviousVirtualNode"
"","0","sendRight_destinationFormula_shouldWrapCorrectly(int, int, int) sendRight: V4 in ring 5 → V0","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","sendRight_destinationFormula_shouldWrapCorrectly"
"","2","message_shouldGenerateUniqueMessageIds()","","Thu Apr 09 07:14:41 UTC 2026","passed","Thu Apr 09 07:14:41 UTC 2026","","fr.uga.im2ag.m1info.physical.MessageTest","fr.uga.im2ag.m1info.physical.MessageTest","message_shouldGenerateUniqueMessageIds"
"","0","data_shouldPreserveArbitraryPayloads(String) [4] ","","Thu Apr 09 07:14:25 UTC 2026","passed","Thu Apr 09 07:14:25 UTC 2026","","fr.uga.im2ag.m1info.physical.EnvelopeTest","fr.uga.im2ag.m1info.physical.EnvelopeTest","data_shouldPreserveArbitraryPayloads"
"","3","main_SendCommand_InvalidDest_ShouldShowError()","","Thu Apr 09 07:14:22 UTC 2026","passed","Thu Apr 09 07:14:22 UTC 2026","","fr.uga.im2ag.m1info.physical.MainTest","fr.uga.im2ag.m1info.physical.MainTest","main_SendCommand_InvalidDest_ShouldShowError"
"","0","withSender_shouldNotMutateOriginalEnvelope()","","Thu Apr 09 07:14:27 UTC 2026","passed","Thu Apr 09 07:14:27 UTC 2026","","fr.uga.im2ag.m1info.physical.EnvelopeTest","fr.uga.im2ag.m1info.physical.EnvelopeTest","withSender_shouldNotMutateOriginalEnvelope"
"","0","onElection_shouldNotUpdateBestRootWhenCandidateHasHigherId()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","onElection_shouldNotUpdateBestRootWhenCandidateHasHigherId"
"","1","data_shouldPreserveArbitraryPayloads(String) [3] unicode: éàü","","Thu Apr 09 07:14:25 UTC 2026","passed","Thu Apr 09 07:14:25 UTC 2026","","fr.uga.im2ag.m1info.physical.EnvelopeTest","fr.uga.im2ag.m1info.physical.EnvelopeTest","data_shouldPreserveArbitraryPayloads"
"","0","sendRight_destinationFormula_shouldWrapCorrectly(int, int, int) sendRight: V1 in ring 5 → V2","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","sendRight_destinationFormula_shouldWrapCorrectly"
"","0","sendRight_shouldDeliverMessageToNextVirtualNode()","","Thu Apr 09 07:13:48 UTC 2026","skipped","Thu Apr 09 07:13:48 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","sendRight_shouldDeliverMessageToNextVirtualNode"
"","1","message_shouldPopulateAllFields()","","Thu Apr 09 07:14:42 UTC 2026","failed","Thu Apr 09 07:14:42 UTC 2026","","fr.uga.im2ag.m1info.physical.MessageTest","fr.uga.im2ag.m1info.physical.MessageTest","message_shouldPopulateAllFields"
"","4","onData_shouldDeliverToHandlerWhenDestinationMatches()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","onData_shouldDeliverToHandlerWhenDestinationMatches"
"","0","virtualEnvelopeData_shouldCarryCorrectSourceAndDestination()","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","virtualEnvelopeData_shouldCarryCorrectSourceAndDestination"
"","2","fromFile_adjacencyColumnCountMismatch_throwsIllegalArgument()","","Thu Apr 09 07:14:24 UTC 2026","passed","Thu Apr 09 07:14:24 UTC 2026","","fr.uga.im2ag.m1info.physical.NetworkConfigTest","fr.uga.im2ag.m1info.physical.NetworkConfigTest","fromFile_adjacencyColumnCountMismatch_throwsIllegalArgument"
"","4","onData_shouldDropDuplicateMessageId()","","Thu Apr 09 07:14:44 UTC 2026","failed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","onData_shouldDropDuplicateMessageId"
"","3","onTopologyRebuild_shouldIgnoreOlderOrEqualVersion()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","onTopologyRebuild_shouldIgnoreOlderOrEqualVersion"
"","1","getStatusSummary_shouldReturnNonEmptyString()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","getStatusSummary_shouldReturnNonEmptyString"
"","4","constructor_shouldDeclareQueueAndExposeNodeMetadata()","","Thu Apr 09 07:14:35 UTC 2026","failed","Thu Apr 09 07:14:35 UTC 2026","","fr.uga.im2ag.m1info.physical.PhysicalNodeUnitTest","fr.uga.im2ag.m1info.physical.PhysicalNodeUnitTest","constructor_shouldDeclareQueueAndExposeNodeMetadata"
"","2","migration_firstCandidate_shouldBeFailedHostPlusOneModNumPhysical(int, int, int) failed host 0 with 3 physicals → first candidate 1","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","migration_firstCandidate_shouldBeFailedHostPlusOneModNumPhysical"
"","9","data_shouldPreserveArbitraryPayloads(String) [1] hello","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","data_shouldPreserveArbitraryPayloads"
"","95","sendData_backloggedBeforeReady_shouldBeFlushedAfterTreeBecomesReady()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","sendData_backloggedBeforeReady_shouldBeFlushedAfterTreeBecomesReady"
"","0","initialHost_shouldBeVirtualIdModNumPhysical(int, int, int, int) V5 in ring 6 with 3 physicals → initial host P2","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","initialHost_shouldBeVirtualIdModNumPhysical"
"","1","hostQueueName_shouldFollowConvention()","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","hostQueueName_shouldFollowConvention"
